Date,GBP,Conversion rate GBP,Reciprocal rate GBP,,,EUR,Conversion rate EUR,Reciprocal rate EUR,,,AUD,Conversion rate AUD,Reciprocal rate AUD,,,BRL,Conversion rate BRL,Reciprocal rate BRL,,,CLP,Conversion rate CLP,Reciprocal rate CLP,,,CNY,Conversion rate CNY,Reciprocal rate CNY,,,COP,Conversion rate COP,Reciprocal rate COP,,,CZK,Conversion rate CZK,Reciprocal rate CZK,,,INR,Conversion rate INR,Reciprocal rate INR,,,IDR,Conversion rate IDR,Reciprocal rate IDR,,,ILS,Conversion rate ILS,Reciprocal rate ILS,,,JPY,Conversion rate JPY,Reciprocal rate JPY,,,MXN,Conversion rate MXN,Reciprocal rate MXN,,,NZD,Conversion rate NZD,Reciprocal rate NZD,,,PLN,Conversion rate PLN,Reciprocal rate PLN,,,RUB,Conversion rate RUB,Reciprocal rate RUB,,,SGD,Conversion rate SGD,Reciprocal rate SGD,,,ZAR,Conversion rate ZAR,Reciprocal rate ZAR,,,KRW,Conversion rate KRW,Reciprocal rate KRW,,,TWD,Conversion rate TWD,Reciprocal rate TWD,,,THB,Conversion rate THB,Reciprocal rate THB,,,TRY,Conversion rate TRY,Reciprocal rate TRY,,,AED,Conversion rate AED,Reciprocal rate AED,,,SEK,Conversion rate SEK,Reciprocal rate SEK,,,CAD,Conversion rate CAD,Reciprocal rate CAD,,,CHF,Conversion rate CHF,Reciprocal rate CHF
4/10/2015,0.68,0.6828,1.4646,,,0.94,0.9437,1.0597,,,1.3,1.3032,0.7674,,,3.08,3.0795,0.3247,,,620.14,620.1379,0.001613,,,6.21,6.2075,0.1611,,,2519,2519,0.000397,,,25.84,25.8412,0.0387,,,62.23,62.2283,0.01607,,,12852.04,12852.0408,0.000078,,,3.99,3.987,0.2508,,,120.3,120.2961,0.008313,,,15.17,15.1674,0.06593,,,1.33,1.3282,0.7529,,,3.79,3.7891,0.2639,,,52.28,52.2831,0.01913,,,1.37,1.3668,0.7316,,,12,11.9952,0.08337,,,1094.27,1094.2659,0.000914,,,31.24,31.2376,0.03201,,,32.53,32.5284,0.03074,,,2.63,2.6278,0.3805,,,3.67,3.6731,0.2723,,,8.82,8.82,0.1134,,,1.26,1.2595,0.794,,,0.98,0.9807,1.0197
4/9/2015,0.68,0.6786,1.4737,,,0.94,0.9372,1.067,,,1.3,1.2978,0.7705,,,3.04,3.0357,0.3294,,,615.76,615.7611,0.001624,,,6.21,6.2062,0.1611,,,2496.03,2496.0317,0.000401,,,25.71,25.7102,0.0389,,,62.18,62.1849,0.01608,,,12836.73,12836.7347,0.000078,,,3.95,3.9547,0.2529,,,120.27,120.2677,0.008315,,,15.06,15.0587,0.06641,,,1.32,1.3239,0.7553,,,3.77,3.7744,0.2649,,,52.68,52.6801,0.01898,,,1.36,1.3581,0.7363,,,11.91,11.9129,0.08394,,,1094.87,1094.8651,0.000913,,,31.25,31.2469,0.032,,,32.55,32.5485,0.03072,,,2.61,2.6138,0.3826,,,3.67,3.673,0.2723,,,8.75,8.7543,0.1142,,,1.26,1.258,0.7949,,,0.98,0.9753,1.0253
4/8/2015,0.67,0.6702,1.4922,,,0.92,0.9244,1.0818,,,1.3,1.2962,0.7715,,,3.09,3.0861,0.324,,,611.64,611.6381,0.001635,,,6.2,6.2013,0.1613,,,2491.63,2491.6335,0.000401,,,25.34,25.3352,0.03947,,,62.23,62.2289,0.01607,,,12894.85,12894.8454,0.000078,,,3.93,3.9296,0.2545,,,119.92,119.9233,0.008339,,,14.91,14.9082,0.06708,,,1.32,1.3193,0.758,,,3.71,3.7116,0.2694,,,53.68,53.6824,0.01863,,,1.35,1.3547,0.7382,,,11.81,11.8111,0.08467,,,1095.27,1095.2715,0.000913,,,31.09,31.0912,0.03216,,,32.58,32.5814,0.03069,,,2.59,2.5875,0.3865,,,3.67,3.6734,0.2722,,,8.65,8.6501,0.1156,,,1.25,1.2508,0.7995,,,0.96,0.9636,1.0377
4/7/2015,0.67,0.6731,1.4856,,,0.92,0.9217,1.085,,,1.31,1.3081,0.7645,,,3.11,3.1119,0.3213,,,609.17,609.1707,0.001642,,,6.2,6.1975,0.1614,,,2517.74,2517.7419,0.000397,,,25.29,25.2947,0.03953,,,62.25,62.2532,0.01606,,,13008.33,13008.3333,0.000077,,,3.94,3.9382,0.2539,,,120.42,120.4243,0.008304,,,14.92,14.9217,0.06702,,,1.33,1.3323,0.7506,,,3.73,3.73,0.2681,,,55.13,55.1347,0.01814,,,1.36,1.3595,0.7356,,,11.86,11.8594,0.08432,,,1094.48,1094.4785,0.000914,,,31.06,31.0647,0.03219,,,32.6,32.5972,0.03068,,,2.6,2.6011,0.3844,,,3.67,3.6729,0.2723,,,8.65,8.6542,0.1156,,,1.25,1.2488,0.8008,,,0.96,0.9642,1.0372
4/6/2015,0.67,0.6685,1.4958,,,0.91,0.9086,1.1006,,,1.31,1.3062,0.7656,,,3.1,3.0975,0.3228,,,610.99,610.9912,0.001637,,,6.2,6.195,0.1614,,,2525.76,2525.7606,0.000396,,,24.91,24.909,0.04015,,,62.17,62.1667,0.01609,,,12970.83,12970.8333,0.000077,,,3.91,3.9133,0.2555,,,119.04,119.044,0.0084,,,14.83,14.8256,0.06745,,,1.32,1.3152,0.7604,,,3.7,3.7015,0.2702,,,55.37,55.3668,0.01806,,,1.35,1.3508,0.7403,,,11.74,11.7361,0.08521,,,1084.67,1084.669,0.000922,,,30.9,30.8983,0.03236,,,32.43,32.4271,0.03084,,,2.56,2.56,0.3906,,,3.67,3.6732,0.2722,,,8.51,8.5055,0.1176,,,1.25,1.2452,0.8031,,,0.95,0.9527,1.0496
4/3/2015,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday,,,Bank holiday,Bank holiday,Bank holiday
4/2/2015,0.67,0.6738,1.4841,,,0.92,0.9195,1.0876,,,1.32,1.3217,0.7566,,,3.14,3.1368,0.3188,,,615.1,615.1026,0.001626,,,6.2,6.1965,0.1614,,,2568.37,2568.3673,0.000389,,,25.34,25.3423,0.03946,,,62.15,62.1481,0.01609,,,12974.23,12974.2268,0.000077,,,3.95,3.9476,0.2533,,,119.74,119.7431,0.008351,,,15.07,15.0682,0.06636,,,1.34,1.3364,0.7483,,,3.75,3.7455,0.267,,,56.61,56.6127,0.01766,,,1.36,1.3578,0.7365,,,11.97,11.9743,0.08351,,,1090.55,1090.5546,0.000917,,,31.05,31.0511,0.03221,,,32.47,32.469,0.0308,,,2.59,2.5911,0.3859,,,3.67,3.6734,0.2722,,,8.63,8.6317,0.1159,,,1.26,1.2585,0.7946,,,0.96,0.9579,1.0439
4/1/2015,0.67,0.6747,1.4822,,,0.93,0.9288,1.0767,,,1.31,1.3135,0.7613,,,3.15,3.1538,0.3171,,,617.33,617.3275,0.00162,,,6.2,6.1975,0.1614,,,2573.88,2573.8776,0.000389,,,25.59,25.5925,0.03907,,,62.16,62.1587,0.01609,,,13002.06,13002.0619,0.000077,,,3.97,3.9673,0.2521,,,119.66,119.6584,0.008357,,,15.12,15.1151,0.06616,,,1.34,1.3404,0.746,,,3.77,3.7704,0.2652,,,57.59,57.589,0.01736,,,1.36,1.3638,0.7333,,,11.97,11.9658,0.08357,,,1098.61,1098.6063,0.00091,,,31.25,31.2488,0.032,,,32.48,32.48,0.03079,,,2.59,2.594,0.3855,,,3.67,3.6727,0.2723,,,8.65,8.6502,0.1156,,,1.26,1.2612,0.7929,,,0.97,0.9672,1.0339
3/31/2015,0.67,0.6734,1.485,,,0.93,0.931,1.0741,,,1.31,1.3117,0.7624,,,3.18,3.1835,0.3141,,,624.47,624.4707,0.001601,,,6.2,6.1989,0.1613,,,2593.66,2593.6605,0.000386,,,25.67,25.6689,0.03896,,,62.32,62.3243,0.01605,,,13075.26,13075.2577,0.000076,,,3.98,3.9771,0.2514,,,119.99,119.9905,0.008334,,,15.25,15.2458,0.06559,,,1.34,1.336,0.7485,,,3.79,3.7939,0.2636,,,58.18,58.1789,0.01719,,,1.37,1.3722,0.7288,,,12.14,12.1368,0.08239,,,1108.65,1108.6538,0.000902,,,31.25,31.2543,0.032,,,32.55,32.5539,0.03072,,,2.6,2.5995,0.3847,,,3.67,3.673,0.2723,,,8.63,8.6279,0.1159,,,1.27,1.2683,0.7885,,,0.97,0.9714,1.0294
3/30/2015,0.68,0.6762,1.4788,,,0.92,0.9244,1.0817,,,1.31,1.3083,0.7644,,,3.25,3.2511,0.3076,,,626.93,626.9269,0.001595,,,6.21,6.2079,0.1611,,,2579.07,2579.065,0.000388,,,25.42,25.4238,0.03933,,,62.54,62.5382,0.01599,,,13081.44,13081.4433,0.000076,,,3.96,3.9591,0.2526,,,120.16,120.161,0.008322,,,15.25,15.2512,0.06557,,,1.33,1.3311,0.7513,,,3.78,3.7799,0.2646,,,57.81,57.8087,0.0173,,,1.38,1.3752,0.7272,,,12.14,12.1426,0.08235,,,1107.24,1107.2426,0.000903,,,31.28,31.2845,0.03196,,,32.58,32.5777,0.0307,,,2.61,2.6072,0.3836,,,3.67,3.6726,0.2723,,,8.6,8.5969,0.1163,,,1.27,1.2689,0.7881,,,0.97,0.9681,1.0329
